      loan_id,Age     ,   Gender,    no_of_dependents,Number_of_Existing_Loans   ,Existing_Customer   , Education,    Employment, income, loan_amount,    loan_term, cibil_score     , residential_assets_value    ,LTV_Ratio, loan_status        
87,43,Female,5,2,No, Non Graduate          ,Salaried,106000,122644,24,387,145000,91.02, Rejected
88,33,Male,1,1,Yes, Non Graduate          ,Self-Employed,50000,82442,48,402,253000,65.52, Rejected
89,23,Male,4,2,Yes, Graduate        ,Self-Employed,31000,36340,36,837,258000,81.71,     Approved
90,31,Female,2,3,No, Non Graduate          ,Self-Employed,26000,91974,36,641,232000,57.17,     Approved
91,30,Male,4,2,No, Graduate        ,,47000,104534,12,489,215000,55.96, Rejected
92,59,Male,4,1,No, Graduate        ,Self-Employed,91000,105628,24,540,202000,85.5, Rejected
93,25,Male,4,3,No, Graduate        ,Self-Employed,66000,99856,12,844,144000,62.63,     Approved
94,21,Female,1,0,No, Graduate        ,Salaried,24000,85518,60,452,255000,95, Rejected
95,50,Male,2,2,No, Graduate        ,Student,82000,150000,60,366,253000,83.91, Rejected
96,54,Male,5,3,No, Graduate        ,Self-Employed,143000,150000,72,300,146000,59.84,Rejected
97,51,Female,2,3,Yes, Graduate        ,Salaried,135000,88353,36,470,222000,79.12, Rejected
98,40,Male,2,0,No, Non Graduate          ,Freelancer,68000,100969,60,861,282000,95,     Approved
99,48,Female,4,3,No, Graduate        ,Salaried,123000,95335,60,562,197000,80.11,Rejected
100,42,Male,0,1,No, Graduate        ,Salaried,89000,125441,36,463,252000,68.27, Rejected
101,42,Male,4,3,Yes, Non Graduate          ,Salaried,77000,93455,72,478,258000,51.02, Rejected
102,45,Male,2,0,Yes, Non Graduate          ,Self-Employed,128000,55651,12,702,244000,76.24,     Approved
103,63,Female,2,0,Yes, Non Graduate          ,Salaried,0,150000,72,618,247000,80.14,     Approved
104,64,Female,4,2,Yes, Graduate        ,Salaried,0,142595,72,633,202000,72.72,     Approved
105,49,Female,5,1,Yes, Non Graduate          ,Self-Employed,122000,150000,12,331,194000,40.93, Rejected
106,55,Female                ,3,0,No, Non Graduate          ,Self-Employed,128000,92232,18,841,218000,88.06,     Approved
107,58,Female                ,4,1,No, Non Graduate          ,Salaried,49000,116602,36,764,143000,53.19,     Approved
108,28,Male,0,2,No, Graduate        ,Freelancer,51000,119303,24,591,229000,75.92,     Approved
109,53,Male,1,3,Yes, Graduate        ,Salaried,105000,91948,48,719,238000,43.34,     Approved
110,20,Male,2,2,No, Graduate        ,Freelancer,54000,150000,48,317,150000,78.3, Rejected
111,37,Female                ,0,0,Yes, Non Graduate          ,Self-Employed,19000,92249,72,778,238000,71.81,     Approved
112,27,Female                ,3,2,No, Graduate        ,Unemployed,24000,100325,72,302,222000,95, Rejected
113,31,Male,5,3,Yes, Non Graduate          ,Student,92000,51775,48,502,200000,49.23, Rejected
114,43,Male,5,0,No, Non Graduate          ,Unemployed,30000,58908,48,879,215000,63.74,     Approved
115,46,Male,1,2,Yes, Non Graduate          ,Self-Employed,134000,150000,36,437,213000,57.74, Rejected
116,64,Female                ,0,0,Yes, Non Graduate          ,,0,82525,48,797,148000,81.89,     Approved
117,69,Female                ,4,2,No, Non Graduate          ,Self-Employed,51000,59282,24,456,234000,95, Rejected
118,34,            Male,0,1,No, Non Graduate          ,Self-Employed,98000,130174,12,647,223000,74.41,     Approved
119,42,Female                ,0,0,Yes, Non Graduate          ,Self-Employed,108000,150000,60,379,220000,52.36, Rejected
120,29,Female                ,1,2,Yes, Non Graduate          ,Unemployed,78000,59745,18,717,142000,89.03,     Approved
121,52,Female                ,5,3,Yes, Graduate        ,Self-Employed,98000,150000,72,545,220000,40, Rejected
122,54,Female                ,2,3,No, Graduate        ,Self-Employed,97000,150000,48,317,220000,62.2, Rejected
123,24,Female                ,1,3,Yes, Non Graduate          ,Student,43000,150000,36,570,215000,47.97,     Approved
124,27,Female                ,0,0,No, Non Graduate          ,Unemployed,19000,91773,24,865,203000,95,     Approved
125,21,            Male,3,3,No, Graduate        ,Self-Employed,29000,53379,12,719,221000,66.39,     Approved
126,58,Female                ,3,3,No, Graduate        ,Salaried,121000,150000,72,821,199000,58.83,     Approved
127,62,            Male,4,2,No, Non Graduate          ,Unemployed,0,83106,48,859,217000,95,     Approved
128,28,Female                ,3,3,No, Non Graduate          ,Student,28000,76802,12,395,204000,95, Rejected
129,55,            Male,2,1,No, Non Graduate          ,Self-Employed,117000,114277,48,429,242000,58.94, Rejected
130,60,Female                ,3,3,Yes, Graduate        ,Self-Employed,0,66156,24,861,196000,51.69,     Approved
131,41,Female                ,0,3,No, Non Graduate          ,Salaried,46000,49211,48,565,142000,61.65,     Approved
132,62,Female                ,5,3,Yes, Graduate        ,Self-Employed,110000,73628,48,357,197000,40, Rejected
133,22,            Male,3,1,Yes, Non Graduate          ,Freelancer,22000,51543,48,465,200000,47.36, Rejected
134,23,Female                ,4,1,No, Non Graduate          ,Student,55000,142707,36,479,227000,78.64, Rejected
135,36,            Male,3,3,No, Non Graduate          ,Salaried,64000,67709,60,717,196000,68.02,     Approved
136,51,            Male,3,3,No, Graduate        ,Self-Employed,71000,98822,48,425,257000,95, Rejected
137,50,Female                ,2,3,Yes, Non Graduate          ,Self-Employed,109000,150000,48,786,145000,69.26,     Approved
138,58,            Male,5,2,No, Non Graduate          ,Freelancer,71000,150000,36,382,215000,71.71, Rejected
139,45,            Male,3,2,No, Non Graduate          ,Self-Employed,83000,141020,12,564,212000,95,Rejected
140,64,            Male,0,0,No, Graduate        ,Student,0,150000,12,501,255000,84.75,     Approved
141,46,            Male,2,2,No, Non Graduate          ,Salaried,53000,134392,18,727,202000,95,     Approved
142,46,            Male,4,2,No, Non Graduate          ,Self-Employed,62000,100580,36,894,270000,95,     Approved
143,43,Female                ,0,2,Yes, Graduate        ,,121000,150000,60,829,143000,51.4,     Approved
144,44,            Male,4,3,Yes, Non Graduate          ,Freelancer,64000,148798,18,506,143000,92.57, Rejected
145,64,Female                ,2,2,Yes, Graduate        ,Student,0,137969,72,802,148000,45.68,     Approved
146,69,            Male,5,1,No, Non Graduate          ,Unemployed,145000,103811,72,543,147000,95, Rejected
147,28,Female                ,3,0,Yes, Graduate        ,Salaried,50000,34683,24,772,216000,56.86,     Approved
148,52,Female                ,3,0,No, Graduate        ,Self-Employed,44000,128373,48,572,220000,58.91,Rejected
149,26,            Male,0,0,No, Non Graduate          ,Unemployed,40000,29600,12,709,244000,79.8,     Approved
150,63,            Male,5,3,Yes, Graduate        ,Student,104000,150000,48,402,142000,45.92, Rejected
151,46,Female                ,1,0,No, Non Graduate          ,Self-Employed,88000,98214,60,481,285000,95, Rejected
152,58,            Male,5,1,Yes, Graduate        ,Self-Employed,171000,139825,48,772,230000,83.13,     Approved
153,66,            Male,1,1,No, Graduate        ,Salaried,171000,150000,36,306,193000,51.69,Rejected
154,18,            Male,2,3,No, Non Graduate          ,Self-Employed,16000,72857,60,415,263000,92.83, Rejected
155,55,            Male,3,0,No, Non Graduate          ,Salaried,77000,78863,36,548,239000,89.53, Rejected
156,26,Female                ,5,1,No, Non Graduate          ,Self-Employed,22000,28043,48,701,196000,71.45,     Approved
157,69,Female                ,2,1,Yes, Graduate        ,Self-Employed,0,67022,72,890,230000,95,     Approved
158,52,Female                ,5,1,No, Non Graduate          ,Self-Employed,147000,61209,36,364,249000,58.65, Rejected
159,65,            Male,5,1,No, Graduate        ,Salaried,0,150000,60,704,214000,95,     Approved
160,35,Female                ,3,1,Yes, Graduate        ,Self-Employed,25000,70290,48,318,241000,40, Rejected
161,23,            Male,5,1,No, Non Graduate          ,Self-Employed,42000,150000,18,761,199000,95,     Approved
162,59,            Male,4,0,No, Non Graduate          ,Unemployed,0,150000,48,693,147000,95,     Approved
163,25,Female                ,3,1,Yes, Non Graduate          ,Salaried,41000,49913,72,524,228000,55.2, Rejected
164,49,Female                ,2,1,Yes, Non Graduate          ,Salaried,68000,73527,60,681,147000,52.76,     Approved
165,60,            Male,2,2,No, Graduate        ,Self-Employed,0,150000,60,737,241000,95,     Approved
166,55,            Male,0,0,No, Non Graduate          ,Freelancer,99000,150000,36,638,147000,95,     Approved
167,41,            Male,4,0,Yes, Non Graduate          ,Self-Employed,114000,150000,48,656,147000,48.27,     Approved
168,26,            Male,1,1,No, Graduate        ,Self-Employed,57000,150000,72,540,212000,85.22,     Approved
169,32,            Male,4,2,No, Non Graduate          ,Salaried,19000,53553,12,341,147000,55.34, Rejected
170,23,Female                ,0,3,No, Non Graduate          ,Salaried,39000,150000,60,371,233000,70.86,Rejected
171,48,            Male,3,1,No, Non Graduate          ,Salaried,26000,100545,36,886,208000,76.09,     Approved
172,46,            Male,0,3,No, Non Graduate          ,Salaried,27000,71703,72,801,144000,68.06,     Approved
173,45,Female                ,3,1,No, Non Graduate          ,,107000,108969,48,748,242000,71.72,     Approved
174,50,            Male,2,1,Yes, Non Graduate          ,Salaried,136000,150000,12,376,149000,40, Rejected
175,49,            Male,4,2,No, Non Graduate          ,Salaried,31000,148100,36,371,212000,95, Rejected
176,50,Female                ,2,1,No, Graduate        ,Unemployed,61000,52030,48,826,229000,77.54,     Approved
177,56,            Male,4,3,No, Non Graduate          ,Self-Employed,106000,117636,12,873,284000,61.99,     Approved
178,45,Female                ,5,2,No, Non Graduate          ,Self-Employed,44000,150000,72,309,237000,83.31, Rejected
179,63,Female                ,4,3,No, Non Graduate          ,Salaried,0,150000,48,869,142000,74.8,     Approved
180,30,            Male,5,3,Yes, Graduate        ,Self-Employed,86000,56228,48,534,232000,42.33, Rejected
181,30,            Male,3,2,Yes, Non Graduate          ,Student,21000,63985,24,787,224000,59.84,     Approved
182,61,            Male,0,2,No, Graduate        ,Self-Employed,0,107445,60,566,270000,57.37,     Approved
183,19,Female                ,0,2,No, Non Graduate          ,Freelancer,56000,130858,60,742,199000,64.49,     Approved
184,34,            Male,2,2,No, Non Graduate          ,Salaried,20000,20582,48,824,205000,73.32,     Approved
185,34,            Male,4,3,Yes, Graduate        ,Unemployed,93000,94401,24,575,213000,51.6,Rejected
186,67,Female                ,2,2,Yes, Graduate        ,Salaried,0,94532,48,766,150000,61.84,     Approved
187,37,            Male,1,0,No, Non Graduate          ,Salaried,68000,66873,72,888,144000,67.03,     Approved
188,39,Female                ,3,2,Yes, Graduate        ,Salaried,101000,148529,12,638,214000,53.38,     Approved
189,65,            Male,5,3,Yes, Non Graduate          ,Freelancer,0,119247,48,622,246000,41.51,     Approved
190,55,Female                ,1,0,No, Non Graduate          ,Salaried,161000,50470,48,458,201000,95, Rejected
191,27,Female                ,1,0,No, Non Graduate          ,Salaried,34000,103844,48,327,246000,89.75, Rejected
192,64,            Male,0,3,Yes, Non Graduate          ,Salaried,0,150000,36,612,143000,72.71,     Approved
193,67,            Male,1,1,Yes, Graduate        ,Salaried,0,149466,60,682,224000,40,     Approved
194,61,            Male,2,3,Yes, Graduate        ,Self-Employed,0,96447,36,583,213000,55.4,     Approved
195,59,            Male,5,3,Yes, Non Graduate          ,Salaried,0,125838,48,697,193000,66.41,     Approved
196,30,            Male,3,2,Yes, Graduate        ,Unemployed,26000,99926,48,306,147000,55.38, Rejected
197,29,Female                ,4,2,No, Non Graduate          ,Salaried,32000,150000,72,669,259000,66.99,     Approved
198,54,Female                ,2,2,No, Non Graduate          ,Salaried,133000,147644,48,816,226000,67.03,     Approved
199,52,            Male,4,1,No, Non Graduate          ,,42000,150000,24,455,209000,53.15, Rejected
200,69,            Male,3,1,Yes, Graduate        ,Salaried,105000,150000,48,318,150000,67.73, Rejected
201,32,Female                ,4,3,No, Non Graduate          ,Salaried,60000,150000,18,355,211000,68.8, Rejected
202,49,Female                ,2,1,Yes, Non Graduate          ,Salaried,139000,93303,48,389,199000,61.54, Rejected
203,29,Female                ,2,2,No, Graduate        ,Self-Employed,85000,71711,18,888,196000,62.44,     Approved
204,61,            Male,2,3,No, Graduate        ,Self-Employed,158000,105976,24,352,220000,50.95, Rejected
205,60,            Male,4,0,No, Non Graduate          ,Salaried,0,81848,12,870,224000,95,     Approved
206,46,Female                ,3,1,No, Non Graduate          ,Salaried,61000,116064,36,827,285000,90.04,     Approved
207,25,Female                ,2,1,Yes, Graduate        ,Salaried,25000,24648,48,768,210000,40,     Approved
208,52,Female                ,0,0,No, Graduate        ,Self-Employed,106000,150000,36,707,237000,79.8,     Approved
209,27,            Male,1,3,No, Non Graduate          ,Salaried,37000,108278,48,355,142000,75.08, Rejected
210,56,            Male,3,1,No, Graduate        ,Self-Employed,53000,150000,48,652,208000,73.99,     Approved
211,39,            Male,3,2,No, Graduate        ,Unemployed,91000,150000,60,665,213000,95,     Approved
212,68,Female                ,5,3,No, Non Graduate          ,Salaried,107000,69238,48,420,223000,71.63, Rejected
213,29,            Male,2,1,Yes, Non Graduate          ,Salaried,60000,128061,24,471,246000,95, Rejected
214,34,            Male,5,1,No, Non Graduate          ,Salaried,73000,52669,12,715,237000,79.18,     Approved
215,49,Female                ,2,3,Yes, Non Graduate          ,Salaried,37000,97688,60,689,266000,59.15,     Approved
216,22,            Male,3,1,No, Graduate        ,Salaried,22000,71264,48,787,199000,50.2,     Approved
217,26,            Male,2,2,Yes, Graduate        ,Salaried,58000,96368,18,819,223000,40,     Approved
218,51,Female                ,4,3,No, Graduate        ,Unemployed,82000,150000,24,809,262000,56.01,     Approved
219,68,Female                ,1,0,Yes, Non Graduate          ,Salaried,0,101010,48,744,228000,81.39,     Approved
220,39,Female                ,0,3,No, Non Graduate          ,Self-Employed,30000,136156,72,484,149000,57.89, Rejected
221,18,Female                ,4,0,Yes, Non Graduate          ,Freelancer,25000,70189,24,673,247000,70.55,     Approved
222,33,Female                ,3,1,Yes, Graduate        ,Salaried,75000,68817,36,695,198000,62,     Approved
223,21,            Male,4,3,No, Non Graduate          ,Salaried,49000,134878,60,473,146000,65.5, Rejected
224,29,            Male,4,1,No, Graduate        ,Freelancer,36000,120926,24,491,208000,76.1, Rejected
225,45,Female                ,3,2,Yes, Non Graduate          ,Self-Employed,56000,118103,60,733,219000,47.59,     Approved           
226,19,            Male,0,2,Yes, Non Graduate          ,Salaried,49000,141610,60,434,218000,56.14, Rejected
227,70,Female                ,3,0,No, Non Graduate          ,Salaried,0,150000,36,777,215000,95,     Approved           
228,24,Female                ,4,1,No, Graduate        ,Self-Employed,14000,43034,24,774,146000,95,     Approved           
229,24,            Male,1,1,No, Non Graduate          ,Unemployed,59000,91586,60,717,144000,65.78,     Approved           
230,51,Female                ,3,0,No, Non Graduate          ,Salaried,90000,150000,72,503,204000,88.64, Rejected
231,20,Female                ,1,0,No, Graduate        ,Self-Employed,15000,37043,48,598,280000,60.59,     Approved           
232,53,            Male,2,2,Yes, Graduate        ,Salaried,104000,70568,12,543,208000,40,     Approved           
233,62,Female                ,0,2,Yes, Non Graduate          ,Salaried,0,150000,36,796,215000,40,     Approved           
234,55,Female                ,3,0,Yes, Non Graduate          ,Salaried,112000,101635,36,386,209000,95, Rejected
235,63,            Male,5,2,Yes, Non Graduate          ,Self-Employed,0,103642,48,632,148000,62.55,     Approved           
236,34,            Male,1,1,Yes, Graduate        ,Freelancer,100000,74914,72,481,147000,40,Rejected
237,42,            Male,3,0,No, Graduate        ,Student,29000,118812,36,770,248000,66.86,     Approved           
238,36,            Male,3,1,No, Graduate        ,Salaried,78000,132830,60,667,206000,88.59,     Approved           
239,40,            Male,3,0,No, Non Graduate          ,Self-Employed,60000,76778,60,585,230000,95,Rejected
240,54,            Male,5,1,No, Graduate        ,Salaried,151000,150000,72,479,215000,80.5, Rejected
241,34,Female                ,2,2,No, Graduate        ,Salaried,32000,145905,36,851,258000,62.24,     Approved           
242,39,Female                ,3,0,No, Non Graduate          ,Self-Employed,82000,150000,72,378,242000,54.85, Rejected
243,31,,5,2,Yes, Graduate        ,Student,36000,76425,18,807,213000,66.6,     Approved           
244,53,,1,0,No, Non Graduate          ,Salaried,88000,102545,24,831,147000,95,     Approved           
245,69,,2,2,No, Non Graduate          ,Salaried,0,85462,60,674,219000,57.05,     Approved           
246,31,,1,2,No, Non Graduate          ,,85000,110581,36,725,224000,61.49,     Approved           
247,58,,2,1,No, Non Graduate          ,Salaried,88000,87434,24,600,226000,95,     Approved           
248,44,,0,0,No, Non Graduate          ,Self-Employed,23000,58061,60,536,205000,59.35,     Approved           
249,66,Female                ,0,0,No, Graduate        ,Unemployed,88000,126893,60,477,255000,95, Rejected
250,57,            Male,1,1,Yes, Non Graduate          ,Salaried,90000,149611,36,560,269000,85.81,     Approved           
251,27,Female                ,0,3,No, Non Graduate          ,Self-Employed,25000,104326,12,539,217000,65.13,     Approved           
252,56,            Male,5,1,No, Graduate        ,Salaried,48000,130612,36,852,206000,56.4,     Approved           
253,19,            Male,3,1,No, Non Graduate          ,Salaried,16000,59253,18,853,225000,95,     Approved           
254,66,            Male,0,0,No, Graduate        ,Self-Employed,0,68624,36,729,142000,95,     Approved           
255,58,Female                ,2,1,No, Non Graduate          ,Salaried,153000,121487,24,546,145000,95, Rejected
256,27,            Male,3,1,No, Graduate        ,Salaried,57000,147593,48,489,144000,74.06, Rejected
257,21,Female                ,3,2,Yes, Graduate        ,Salaried,16000,42356,72,869,213000,85.45,     Approved           
258,44,Female                ,2,1,Yes, Non Graduate          ,Self-Employed,79000,150000,36,502,216000,72.06, Rejected
259,67,            Male,0,1,No, Graduate        ,Self-Employed,0,129341,36,652,252000,70.66,     Approved           
260,34,Female                ,0,0,No, Non Graduate          ,Salaried,87000,61743,18,789,276000,65.09,     Approved           
261,52,            Male,4,2,No, Non Graduate          ,Self-Employed,74000,139965,36,325,253000,93.14,Rejected
262,36,            Male,3,3,No, Graduate        ,Self-Employed,59000,150000,36,716,261000,95,     Approved           
263,62,            Male,3,2,Yes, Graduate        ,Self-Employed,153000,75776,48,523,194000,56.94, Rejected
264,62,Female                ,5,2,Yes, Non Graduate          ,Salaried,157000,145361,36,352,228000,40, Rejected
265,62,            Male,5,3,No, Graduate        ,Salaried,71000,150000,18,345,143000,85.7,Rejected
266,28,            Male,0,3,No, Graduate        ,Student,76000,68433,72,649,150000,84.26,     Approved           
267,19,Female                ,2,3,No, Graduate        ,Salaried,40000,103544,60,666,228000,88.42,     Approved           
268,50,            Male,0,2,No, Graduate        ,Salaried,46000,150000,24,813,240000,93.2,     Approved           
269,45,            Male,0,3,No, Non Graduate          ,Salaried,49000,150000,48,599,196000,70.87,     Approved           
270,44,Female                ,5,0,No, Graduate        ,Freelancer,127000,86512,18,678,207000,89.13,     Approved           
271,49,Female                ,5,3,Yes, Non Graduate,Salaried,105000,84314,48,513,220000,44.64, Rejected
272,65,Female                ,5,3,Yes, Graduate        ,Salaried,0,108043,48,870,225000,40,     Approved           
273,46,            Male,3,0,No, Graduate        ,Freelancer,136000,150000,36,483,209000,77.65, Rejected
274,57,            Male,1,3,No, Graduate        ,Salaried,70000,52123,60,308,146000,60.67, Rejected
275,19,Female                ,3,1,No, Graduate        ,Salaried,23000,115419,24,591,227000,51.31,Rejected
276,50,Female                ,1,3,Yes, Non Graduate,Salaried,113000,150000,24,886,225000,85,     Approved           
277,51,            Male,4,1,No, Non Graduate,Unemployed,48000,48189,36,829,196000,79.57,     Approved           
